Diagnostic Log - Started at 2025-12-25 16:33:25.020963
Problem: tour750.csv, Size: 750, Symmetric: False
Population: 100, Mutation Rate: 0.1
================================================================================

Gen    50 | SCX_fail:  178 | RCL_fallback:  376 | Mut_infeas:  198 | Feasible_rate: 92.48% | Best: 103995.43
Gen  2300 | SCX_fail: 5864 | RCL_fallback: 14816 | Mut_infeas: 8952 | Feasible_rate: 93.56% | Best: 103116.06
Gen  2350 | SCX_fail: 5949 | RCL_fallback: 15080 | Mut_infeas: 9131 | Feasible_rate: 93.58% | Best: 103116.06
Gen  2400 | SCX_fail: 6003 | RCL_fallback: 15322 | Mut_infeas: 9319 | Feasible_rate: 93.62% | Best: 103038.51
Gen  2450 | SCX_fail: 6056 | RCL_fallback: 15578 | Mut_infeas: 9522 | Feasible_rate: 93.64% | Best: 103038.51
Gen  2500 | SCX_fail: 6110 | RCL_fallback: 15812 | Mut_infeas: 9702 | Feasible_rate: 93.68% | Best: 103038.51
Gen  2550 | SCX_fail: 6189 | RCL_fallback: 16092 | Mut_infeas: 9903 | Feasible_rate: 93.69% | Best: 103038.51
Gen  2600 | SCX_fail: 6250 | RCL_fallback: 16369 | Mut_infeas: 10119 | Feasible_rate: 93.70% | Best: 102996.96
Gen  2650 | SCX_fail: 6327 | RCL_fallback: 16650 | Mut_infeas: 10323 | Feasible_rate: 93.72% | Best: 102996.96
Gen  2700 | SCX_fail: 6459 | RCL_fallback: 16976 | Mut_infeas: 10517 | Feasible_rate: 93.71% | Best: 102996.96
Gen  2750 | SCX_fail: 6548 | RCL_fallback: 17238 | Mut_infeas: 10690 | Feasible_rate: 93.73% | Best: 102996.96
Gen  2800 | SCX_fail: 6640 | RCL_fallback: 17536 | Mut_infeas: 10896 | Feasible_rate: 93.74% | Best: 102996.96
Gen  2850 | SCX_fail: 6692 | RCL_fallback: 17780 | Mut_infeas: 11088 | Feasible_rate: 93.76% | Best: 102996.96
Gen  2900 | SCX_fail: 6728 | RCL_fallback: 18023 | Mut_infeas: 11295 | Feasible_rate: 93.79% | Best: 102996.96
Gen  2950 | SCX_fail: 6764 | RCL_fallback: 18240 | Mut_infeas: 11476 | Feasible_rate: 93.82% | Best: 102996.96
Gen  3000 | SCX_fail: 6802 | RCL_fallback: 18460 | Mut_infeas: 11658 | Feasible_rate: 93.85% | Best: 102996.96
Gen  3050 | SCX_fail: 6904 | RCL_fallback: 18755 | Mut_infeas: 11851 | Feasible_rate: 93.85% | Best: 102996.96
Gen  3100 | SCX_fail: 6972 | RCL_fallback: 19025 | Mut_infeas: 12053 | Feasible_rate: 93.86% | Best: 102996.96
Gen  3150 | SCX_fail: 7146 | RCL_fallback: 19408 | Mut_infeas: 12262 | Feasible_rate: 93.84% | Best: 102996.96
Gen  3200 | SCX_fail: 7346 | RCL_fallback: 19791 | Mut_infeas: 12445 | Feasible_rate: 93.82% | Best: 102996.96
Gen  3250 | SCX_fail: 7577 | RCL_fallback: 20223 | Mut_infeas: 12646 | Feasible_rate: 93.78% | Best: 102996.96
Gen  3300 | SCX_fail: 7766 | RCL_fallback: 20627 | Mut_infeas: 12861 | Feasible_rate: 93.75% | Best: 102996.96
Gen  3350 | SCX_fail: 7924 | RCL_fallback: 20983 | Mut_infeas: 13059 | Feasible_rate: 93.74% | Best: 102996.96
Gen  3400 | SCX_fail: 8040 | RCL_fallback: 21304 | Mut_infeas: 13264 | Feasible_rate: 93.73% | Best: 102996.96
Gen  3450 | SCX_fail: 8327 | RCL_fallback: 21766 | Mut_infeas: 13439 | Feasible_rate: 93.69% | Best: 102996.96
Gen  3500 | SCX_fail: 8628 | RCL_fallback: 22260 | Mut_infeas: 13632 | Feasible_rate: 93.64% | Best: 102996.96
Gen  3550 | SCX_fail: 8847 | RCL_fallback: 22674 | Mut_infeas: 13827 | Feasible_rate: 93.61% | Best: 102996.96
Gen  3600 | SCX_fail: 9080 | RCL_fallback: 23104 | Mut_infeas: 14024 | Feasible_rate: 93.58% | Best: 102996.96
Gen  3650 | SCX_fail: 9188 | RCL_fallback: 23401 | Mut_infeas: 14213 | Feasible_rate: 93.59% | Best: 102996.96
Gen  3700 | SCX_fail: 9302 | RCL_fallback: 23695 | Mut_infeas: 14393 | Feasible_rate: 93.60% | Best: 102996.96
Gen  3750 | SCX_fail: 9366 | RCL_fallback: 23964 | Mut_infeas: 14598 | Feasible_rate: 93.61% | Best: 102996.96
Gen  3800 | SCX_fail: 9442 | RCL_fallback: 24262 | Mut_infeas: 14820 | Feasible_rate: 93.62% | Best: 102996.96
Gen  3850 | SCX_fail: 9504 | RCL_fallback: 24527 | Mut_infeas: 15023 | Feasible_rate: 93.63% | Best: 102996.96
Gen  3900 | SCX_fail: 9598 | RCL_fallback: 24798 | Mut_infeas: 15200 | Feasible_rate: 93.64% | Best: 102977.43
Gen  3950 | SCX_fail: 9660 | RCL_fallback: 25060 | Mut_infeas: 15400 | Feasible_rate: 93.66% | Best: 102935.87
Gen  4000 | SCX_fail: 9726 | RCL_fallback: 25318 | Mut_infeas: 15592 | Feasible_rate: 93.67% | Best: 102935.87
Gen  4050 | SCX_fail: 9802 | RCL_fallback: 25598 | Mut_infeas: 15796 | Feasible_rate: 93.68% | Best: 102935.87
Gen  4100 | SCX_fail: 9867 | RCL_fallback: 25860 | Mut_infeas: 15993 | Feasible_rate: 93.69% | Best: 102935.87
Gen  4150 | SCX_fail: 9944 | RCL_fallback: 26112 | Mut_infeas: 16168 | Feasible_rate: 93.71% | Best: 102935.87
Gen  4200 | SCX_fail: 9995 | RCL_fallback: 26369 | Mut_infeas: 16374 | Feasible_rate: 93.72% | Best: 102935.87
Gen  4250 | SCX_fail: 10052 | RCL_fallback: 26604 | Mut_infeas: 16552 | Feasible_rate: 93.74% | Best: 102928.28
Gen  4300 | SCX_fail: 10124 | RCL_fallback: 26896 | Mut_infeas: 16772 | Feasible_rate: 93.75% | Best: 102928.28
Gen  4350 | SCX_fail: 10192 | RCL_fallback: 27158 | Mut_infeas: 16966 | Feasible_rate: 93.76% | Best: 102928.28
Gen  4400 | SCX_fail: 10233 | RCL_fallback: 27380 | Mut_infeas: 17147 | Feasible_rate: 93.78% | Best: 102928.28
Gen  4450 | SCX_fail: 10281 | RCL_fallback: 27624 | Mut_infeas: 17343 | Feasible_rate: 93.79% | Best: 102928.28
Gen  4500 | SCX_fail: 10366 | RCL_fallback: 27900 | Mut_infeas: 17534 | Feasible_rate: 93.80% | Best: 102928.28
Gen  4550 | SCX_fail: 10453 | RCL_fallback: 28176 | Mut_infeas: 17723 | Feasible_rate: 93.81% | Best: 102928.28
Gen  4600 | SCX_fail: 10505 | RCL_fallback: 28416 | Mut_infeas: 17911 | Feasible_rate: 93.82% | Best: 102928.28
Gen  4650 | SCX_fail: 10521 | RCL_fallback: 28650 | Mut_infeas: 18129 | Feasible_rate: 93.84% | Best: 102928.28
Gen  4700 | SCX_fail: 10551 | RCL_fallback: 28866 | Mut_infeas: 18315 | Feasible_rate: 93.86% | Best: 102807.14

================================================================================
Final Statistics:
Total SCX failures: 10563
Total RCL fallbacks: 29067
Total mutation infeasible: 18504
Total offspring generated: 474400
Overall feasible offspring rate: 93.87%
Best fitness achieved: 102807.14
